"Number";"Date";"Relative Pressure (hPa)";"Indoor Temp (°C)";"Indoor Hum (%)";"Outdoor Temp (°C)";"Outdoor Hum (%)";"Dewpoint (°C)";"Wind Chill (°C)";"Winds. (m/s)";"Wind Direction";"Gust (m/s)";"Relative Rain (mm)";"Total Rain (mm)"
"0";"20.11.2016 21:40";"1002.2";"17.8";"61";"8.1";"72";"3.4";"---";"---";"---";"---";"0.0";"0.0"
"1";"20.11.2016 21:50";"1002.3";"17.8";"61";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"2";"20.11.2016 22:00";"1002.3";"17.7";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"3";"20.11.2016 22:10";"1002.3";"17.7";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"4";"20.11.2016 22:20";"1002.4";"17.6";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"5";"20.11.2016 22:30";"1002.4";"17.6";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"6";"20.11.2016 22:40";"1002.6";"17.6";"61";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"7";"20.11.2016 22:50";"1002.6";"17.6";"61";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"8";"20.11.2016 23:00";"1002.7";"17.6";"61";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"9";"20.11.2016 23:10";"1002.6";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"10";"20.11.2016 23:20";"1002.7";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"11";"20.11.2016 23:30";"1002.7";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"12";"20.11.2016 23:40";"1002.7";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
